Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
296,MADHYA PRADESH,Alirajpur,19191.82,823.1,0,1448.74,21463.66,1073.18,20390.48,4750.28,2213.72,6964,5824,9816.2,34
297,MADHYA PRADESH,Agar,36674.73,2061.45,0,8251.14,46987.32,2349.37,44637.95,37308.18,1272.29,38580.47,1790.1,5539.67,86
298,MADHYA PRADESH,Anupur,33590.79,95.36,5577.68,233.85,39497.68,1974.89,37522.79,1122.34,1209.16,2331.5,2700.4,33700.05,6
299,MADHYA PRADESH,Ashoknagar,36014.15,1787.64,0,6046.9,43848.69,2192.51,41656.18,19542.35,1602.5,21144.85,2584,19529.83,51
300,MADHYA PRADESH,Balaghat,83218.32,3972.9,8090.86,2730.51,98012.59,4900.97,93111.62,10860.16,3178.92,14039.08,4145,78106.46,15
301,MADHYA PRADESH,Barwani,36922.22,1608.16,0,5775.65,44306.03,2215.3,42090.73,31115.06,3242.63,34357.69,4714.6,6261.07,82
302,MADHYA PRADESH,Bhind,52460.95,793.56,1546.75,11341.93,66143.19,3332.85,62810.34,23723.56,2860.69,26584.25,8094,30992.78,42
303,MADHYA PRADESH,Bhopal,32025.09,1913.4,0,5630.96,39569.45,1978.47,37590.98,24889.03,2874.92,27763.95,3512.71,9189.24,74
304,MADHYA PRADESH,Betul,94253.18,3660.07,11957.14,11055.68,120926.07,6000.13,114925.94,62997.1,3475.04,66472.14,4914,47014.84,58
305,MADHYA PRADESH,Burhanpur,28866.6,913.96,0,4275.55,34056.11,1702.81,32353.3,24460.62,1212.39,25673.01,1562,6330.68,79
306,MADHYA PRADESH,Chhatarpur,65915.85,3698.68,0,14049.49,83664.02,4156.91,79507.11,46826.13,3196.17,50022.3,4618.01,28062.97,63
307,MADHYA PRADESH,Chhindwara,103113.36,4312.48,11904.87,14033.34,133364.05,6668.27,126695.78,66603.33,5474.03,72077.36,7279,52813.45,57
308,MADHYA PRADESH,Damoh,30727.61,1579,0,8960.48,41267.09,2063.36,39203.73,22773.4,2301.39,25074.79,3254.51,13175.82,64
309,MADHYA PRADESH,Datia,30023.02,766.82,0,7025.73,37815.57,1890.6,35924.97,15362.68,1274.69,16637.37,1954,18608.29,46
310,MADHYA PRADESH,Dewas,71679.07,3016.28,2670.07,11404.21,88769.63,4438.45,84331.18,67877.65,4066.48,71944.13,4955.03,11498.5,85
311,MADHYA PRADESH,Dhar,84510.7,4664.9,0,20377.75,109553.35,5481.52,104071.83,79322.11,5337.12,84659.23,10632.42,14117.3,81
312,MADHYA PRADESH,Dindori,39718.11,119.17,4682.65,396.97,44916.9,2243.87,42673.03,1350.29,1397.26,2747.55,1715,39607.74,6
313,MADHYA PRADESH,Guna,64983.8,3607.01,0,12073.02,80663.83,4045.51,76618.32,38692.19,2625.89,41318.08,3498.81,34427.32,54
314,MADHYA PRADESH,Gwalior,38069.48,4664.33,562.86,15572.82,58869.49,3013.17,55856.32,19811.88,1484.87,21296.75,6090.31,29954.13,38
315,MADHYA PRADESH,Harda,38346.24,2598.48,0,15558.05,56502.77,2815.83,53686.94,14155.84,1010.13,15165.97,1329,38202.1,28
316,MADHYA PRADESH,Hoshangabad,148471.94,10274.43,0,60539.74,219286.11,10963.87,208322.24,39242.87,3067.7,42310.57,4349,164730.37,20
317,MADHYA PRADESH,Indore,44562.76,4116.67,0,13134.42,61813.85,3090.77,58723.08,65164.51,3721.02,68885.53,4501.77,-10943.2,117
